# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
5.957904816016298177e+00 2.186597086810189605e+00 7.108222973680679013e-01 1.180922494501991749e+09 8.695648220719119692e+00 2.944491690585515076e-01 -9.936782398279799811e-01 2.656655065201241950e+00 6.205243667523530959e+00 4.186078185258055862e-01 1.539765719136334532e-01 -5.835491999999999825e+04
1.834350468485439922e+00 2.041362549567708573e+00 3.397835411907585978e-01 1.180922494497524261e+09 8.514407910590980677e+00 2.799988878293453998e-01 -6.317509276339619007e-01 2.570975053954407841e+00 5.551594718498435554e+00 2.361015199844488099e-01 6.649776358162761136e-01 -5.835479000000000087e+04
2.610375237571833651e+00 2.292229067067097059e+00 1.189002863039334112e+00 1.180922494501391411e+09 8.527724018577576004e+00 2.420097592225941008e-01 -7.703807714247330463e-01 9.394506513541625026e-01 6.055253160714471505e+00 3.891625596404877929e-01 -1.005775191360083615e-01 -5.835476000000000204e+04
3.655597467760840491e+00 2.224638185728656792e-01 1.044083259085464954e+00 1.180922494489330769e+09 8.593031605742135426e+00 2.099435483334535502e-01 -6.251440794497485909e-01 2.627933130176908438e+00 5.263581043241743807e+00 3.732263274401292907e-01 7.215898337307824484e-01 -5.835473999999999796e+04
3.570906179993776686e+00 2.257872417704960277e+00 7.318629100689136857e-01 1.180922494502968550e+09 8.587322529531734361e+00 3.281384165218865778e-01 9.439528172762742253e-01 7.556118267014849676e-01 6.146119634690850653e+00 2.991549178419494193e-01 3.090795762820300885e-01 -5.835472000000000116e+04
4.534335616917214984e-01 1.935168860134743429e+00 1.206064048405317335e+00 1.180922494499830961e+09 8.607163034084296171e+00 1.497284911827117537e-01 9.032857165173163727e-01 1.263277810913921773e+00 5.946910502223796691e+00 5.506477814146971683e-01 -2.066405711051073069e-01 -5.835463999999999942e+04
1.154126572200618428e+00 2.124695214749686034e+00 3.527707636879724995e-01 1.180922494497746468e+09 8.509684554408513790e+00 3.070275077847106626e-01 -6.431031201114909557e-01 2.255714658723029231e+00 5.634322712287594292e+00 4.103841169425812008e-01 -5.442319996218855094e-01 -5.835463999999999942e+04
3.549434933337884512e+00 2.054974041237255022e+00 1.091373736539354766e+00 1.180922494499224186e+09 8.565857239715693794e+00 1.700607050862918967e-01 5.448158881434735923e-01 1.067636096027090087e+00 5.756311082462721274e+00 4.469551682219173872e-01 3.747829729887127148e-01 -5.835461000000000058e+04
1.909039719785120770e+00 2.299912615520153913e+00 9.344260451488124453e-01 1.180922494501618147e+09 8.701879650614875672e+00 1.206305381397200088e-01 -8.532239866802168171e-01 1.103084807855399418e+00 6.113184911791688769e+00 6.088550755826546146e-01 5.113144181237963548e-02 -5.835459999999999854e+04
1.873361434385514723e+00 1.199549975388824574e+00 1.357551540744236895e+00 1.180922494498301983e+09 8.541872137465091441e+00 2.668922461200669560e-01 8.547802205988098700e-01 1.548381370152611680e-01 5.919204748121956072e+00 2.874299832345138528e-01 4.565012808673852840e-01 -5.835458999999999651e+04
4.420400622386166489e+00 2.277345850260862559e+00 8.889319506905511981e-01 1.180922494501926422e+09 8.687529400428916304e+00 1.310387266504655646e-01 6.425740926213563409e-01 5.719985892303303121e-01 6.075907660003400323e+00 5.682798701459775836e-01 3.722484091783987425e-01 -5.835458999999999651e+04
4.841805301773515424e+00 1.826744920074610423e+00 1.194055449208268671e+00 1.180922494499670029e+09 8.478546436782080420e+00 2.849151099896740091e-01 9.074059326723861174e-01 5.894765123321616951e-01 6.038915995969518669e+00 1.572164551006952071e-01 7.465546897347404842e-01 -5.835456999999999971e+04
2.832828630519631741e+00 1.095990138801398839e+00 1.347279771832287976e+00 1.180922494497650385e+09 8.576849701646775515e+00 2.697235228192338408e-01 -9.482848388374490733e-01 1.957598807840069233e+00 6.080750296263842891e+00 3.633369350772810424e-01 1.941833243594028313e-01 -5.835455000000000291e+04
