# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
4.664713078540755120e+00 5.463839084139757496e+00 -1.107920197808717422e+00 1.185389807296743870e+09 5.088503026099720472e+01 8.734017535099055651e-01 -8.989536263971645846e-01 1.606239992763947466e+00 8.574164566744427063e+00 6.016971337186374780e-02 5.677664760225807905e-01 -1.032734000000000015e+04
2.941493186094170209e+00 1.174722209275553264e-01 -1.138134114678486908e+00 1.185389807294526100e+09 6.246503729158508378e+01 6.809019909510585222e-01 -9.849747856553784375e-01 8.202331080576248379e-01 8.708712471761799634e+00 7.540314244934697152e-01 5.760843525038310264e-02 -1.032728000000000065e+04
4.377142108804938481e+00 4.775009974282726333e+00 -6.815123092270589100e-02 1.185389807294638872e+09 6.386009682136268850e+01 6.015355979817958998e-01 -9.780556398744939539e-01 3.846671596172677177e-01 8.146839761698357663e+00 4.559759408298547645e-01 5.926812065933328988e-01 -1.032728000000000065e+04
1.299268842854918449e-01 5.646199991389010131e-03 -1.237243936746250883e+00 1.185389807292469978e+09 6.680527437198709606e+01 6.723473140980802398e-01 8.024384484022114572e-01 1.064183415441877889e+00 8.153658930232746016e+00 7.420806493293496953e-01 3.491725436885794731e-01 -1.032726000000000022e+04
6.415540316562163836e-01 5.560051791182862857e+00 -1.103309052833511217e+00 1.185389807288295984e+09 4.466100590198619358e+01 2.999914744394219790e-01 -7.429134496191691639e-01 2.361349147797325632e+00 8.067595407500510518e+00 1.486561047179212613e-01 7.314879973729965235e-01 -1.032723999999999978e+04
2.604978244940116205e+00 5.265310710535439753e+00 -8.940280376074422053e-01 1.185389807295141935e+09 4.723778418871744833e+01 4.523114377115444174e-01 5.893490269690419003e-01 9.262698273761728052e-01 8.283488195086615491e+00 3.595342551635124506e-01 5.324252548478544678e-02 -1.032720000000000073e+04
3.917289475854869529e+00 4.959277076911404514e+00 -5.168372669629742733e-01 1.185389807286608696e+09 5.728437398534546077e+01 6.499884123904313693e-01 -7.339190684954689514e-01 2.001258902793196515e-01 7.962370687454206397e+00 1.283623749239676780e-02 4.857981977530235751e-01 -1.032717000000000007e+04
3.291201990961548862e+00 2.578284521701327936e+00 8.224577702369130217e-01 1.185389807328970909e+09 6.355204819165164309e+01 7.958991543978973793e-01 9.130976442290380524e-01 1.264892434447631109e+00 8.583748983057644111e+00 5.819961505403424828e-01 5.973094231760275319e-01 -1.032712999999999920e+04
3.084795598362611191e+00 5.410697191818597318e+00 -1.042707464020406372e+00 1.185389807289852858e+09 6.764859911056534258e+01 8.706136962807458080e-01 -1.847681968537842057e-01 2.026264913856886896e+00 8.370941646626919308e+00 7.476333082458481716e-01 4.339865269197332731e-01 -1.032711000000000058e+04
6.108442143454176909e-01 2.454286635530858351e+00 8.122257060430735365e-01 1.185389807327079296e+09 6.584774081222029452e+01 6.420912397588594001e-01 7.657144298035299945e-01 6.347597950122826349e-01 8.431636282654153547e+00 5.816790724068892082e-01 6.236410673400487603e-01 -1.032701000000000022e+04
4.950645990536441943e+00 5.584980745999128082e+00 -1.147152473484228663e+00 1.185389807296534538e+09 5.117239916819153223e+01 9.306138458910319100e-01 -7.804804202685146075e-01 1.931684182723387710e+00 8.425666474204106748e+00 1.668056211510038633e-01 6.870399360390869736e-01 -1.032701000000000022e+04
3.948197005960493389e+00 2.899287989960289913e+00 9.711789388851111982e-01 1.185389807333841324e+09 6.155306216819528231e+01 5.575488916425154207e-01 6.682047775070931728e-01 2.217853129167999704e+00 8.383903802285528784e+00 7.488197105417957466e-01 6.468246320345526490e-01 -1.032698999999999978e+04
4.657425488339128172e+00 4.891074598311576871e+00 -2.346518928664226289e-01 1.185389807290870905e+09 7.234978724093329561e+01 9.124038154468584461e-01 -5.993907731347501988e-01 1.093788367137035422e+00 8.317743196746283374e+00 6.953705356266854931e-01 7.038576782906256213e-01 -1.032695000000000073e+04
